Contributor,Commits,Added,Deleted,Repos
GleammerRay,15,444,401,1
porras,2,536,401,1
jralls,90,476,400,1
gkarsay,14,482,400,1
j0chn1,81,544,399,1
real-yfprojects,7,373,398,1
cameronwhite,14,307,395,2
ILightburn,11,708,395,1
su-ex,37,308,392,2
Miepee,20,1253,392,5
gottcode,210,699,391,11
aleb,5,489,390,1
CodeDoctorDE,26,439,389,1
GeopJr,45,727,388,3
LukeBriggsDev,22,636,388,1
sithlord48,10,549,387,2
nadiaholmquist,10,575,386,1
loonycyborg,43,361,383,1
keshavbhatt,54,748,382,3
iakmds,46,422,381,1
g-fb,74,611,377,4
danilown,10,449,372,2
emericg,14,885,372,2
ItsJamie9494,15,382,370,2
BleuBleu,32,977,370,1
lock042,61,439,370,1
flxzt,71,426,367,1
actions-user,64,541,365,3
Pointedstick,19,878,364,6
bdbcat,57,148,364,1
iSlammedMyKindle,8,623,363,1
hluk,43,390,362,1
olea,16,687,357,2
nate-xyz,44,8443,356,4
robiot,12,398,353,1
neithern,39,399,352,1
prasser,9,201,350,1
haecker-felix,40,1075,349,3
peppy,5,25,349,1
mgallien,35,506,343,1
lruzicka,4,1221,342,1
Zishan-Rahman,39,379,341,3
ProjectSynchro,33,544,341,1
comparascope,33,2317,339,1
jflatt,29,627,337,1
eneshecan,23,491,336,1
slouken,11,563,335,1
rncbc,64,271,332,2
owendaprile,5,470,329,1
fcastilloec,30,376,328,1
tallero,24,621,326,1
cgutman,97,452,325,1
patriziobruno,51,807,323,6
eighthave,26,958,322,2
cvfosammmm,82,919,321,2
junrrein,50,552,318,1
ximion,22,1130,318,4
DavidoTek,47,603,318,1
mwleeds,19,259,317,4
wshanks,18,421,316,1
cassidyjames,61,352,314,4
cfcurtis,8,615,314,1
ddennedy,30,323,313,1
dsd,14,1002,312,3
andreas-jonsson,12,413,312,1
jijojosephk,60,714,311,1
KRTirtho,30,349,310,1
paperManu,56,462,310,1
hakandundar34coding,100,481,310,2
nielsdg,15,602,310,3
Kekun,27,2139,308,11
mdh34,25,388,308,2
krupkat,11,412,307,1
srevinsaju,10,2487,307,6
eshimoniak,14,333,304,1
redsky17,24,690,302,1
lhw,16,447,300,2
debarshiray,60,631,300,2
eyecreate,24,38,298,2
pjbroad,55,6001,298,1
hongquan,22,693,297,1
liferooter,32,306,295,2
core1024,17,551,295,1
taunoe,18,497,294,1
adhami3310,19,4441,294,1
RetGal,42,372,293,1
wsnipex,14,1467,293,1
SharkyRawr,15,596,289,2
albfan,16,636,288,4
SirMangler,16,500,288,1
r4sas,39,285,287,1
MateusRodCosta,38,625,286,4
AHappyUser,142,337,286,2
ramcq,88,3723,285,19
aknarts,61,329,283,1
tamasmeszaros,2,112,280,1
markummitchell,14,256,279,1
luspi,31,418,279,1
frhun,20,653,279,2
Cogitri,27,1625,275,4
lettier,11,1720,275,1
rafaelmardojai,48,534,273,6
TheJackiMonster,37,669,272,2
jjoelj,28,531,271,1
muep,28,9777,271,1
FoxxMD,11,5556,270,1
YaLTeR,31,490,268,2
jcaesar,17,448,266,1
claudioandre-br,8,727,265,1
aklsh,19,386,265,2
krille-chan,50,258,264,1
HarryMichal,5,481,263,1
Witherking25,14,461,262,1
abderrahim,3,20,261,3
vzhd1701,14,1459,257,1
x80486,16,240,255,5
Snaggly,11,371,254,3
maxrd2,8,3046,254,1
ineol,10,710,252,1
geekgonecrazy,12,373,250,2
BillZaumen,6,326,250,1
alexthemighty,38,711,249,8
FloridaMan7588,17,475,249,1
knuxify,16,335,246,1
fries1234,18,308,246,1
OzarkShepherd,46,945,240,1
fat0troll,15,460,239,1
