Contributor,Commits,Added,Deleted,Repos
Dariasteam,33,1795,1642,1
giacomogroppi,33,179,103,1
bertob,33,182,90,1
ProjectSynchro,33,544,341,1
comparascope,33,2317,339,1
rszibele,32,2019,775,4
liferooter,32,306,295,2
ganthern,32,851,7414,1
jorchube,32,165,87,1
lu9dce,32,376,776,2
mki1967,32,263,147,1
pio2398,32,269,138,2
xverizex,32,221,179,1
philn,32,563,513,3
csett86,32,303,186,2
d3cod3,32,210,161,1
BleuBleu,32,977,370,1
nukeop,32,221,227,1
ebassi,31,284,138,3
ilya-zlobintsev,31,418,691,1
sheep-farm,31,6215,6177,1
azymohliad,31,8685,3647,2
goaaats,31,3392,1840,1
koroshiya,31,619,113,5
martinrotter,31,193,158,1
realmazharhussain,31,110,59,1
trigg,31,475,134,1
YaLTeR,31,490,268,2
luspi,31,418,279,1
0x1a8510f2,31,3762,60,1
GarboMuffin,31,107275,64273,1
fcastilloec,30,376,328,1
KRTirtho,30,349,310,1
Mar0xy,30,212,10768,1
langurmonkey,30,161,132,1
xou816,30,12548,7659,1
idunno101,30,569,147,3
losuler,30,354,76,2
mat8913,30,47255,47112,1
ddennedy,30,323,313,1
theCapypara,30,5209,1011,2
SpeedCode210,30,25626,25329,2
manuq,29,2002,536,8
bitwig-buildbot,29,96,67,1
ryonakano,29,459,214,5
dynobo,29,944,174,1
ptitjano,29,82,71,2
fishxz,29,313,155,1
SemaiCZE,29,496,155,1
qvshuo,29,370,127,2
xplshn,29,325,184,1
xcffl,29,71334,53367,1
adityashah1212,29,9212,7464,2
jflatt,29,627,337,1
jflesch,29,1277,456,1
jjoelj,28,531,271,1
stawidy,28,134,108,2
nahuelwexd,28,243,66,10
peterNordin,28,551,175,1
BrainBlasted,28,399,185,10
COM8,28,451,207,1
marcoscarpetta,28,178,144,1
anarcat,28,1896,1150,1
creepertron95,28,236,109,1
peerchemist,28,230,106,1
son-link,28,3683,3328,2
mcatanzaro,28,96,119,2
mvainola,28,142,119,4
muep,28,9777,271,1
gjanssens,28,2229,1477,1
gruve-p,28,2836,1356,2
carrotIndustries,28,523,227,1
keyiflerolsun,28,1109,586,1
jacobzimmermann,28,502,47,2
coolavery,28,8551,141,1
sebastian-de,27,9194,1714,2
pizzadude,27,228,96,12
Kekun,27,2139,308,11
Cogitri,27,1625,275,4
pcercuei,27,286,100,4
gkeep,27,276,104,1
CleoMenezesJr,27,401,185,3
SiongSng,27,253,141,1
fsobolev,27,209,64,2
